ID,Agency_Name,Agency_Suburb,Agency_Postcode,Agency_Reg_Date,Pref_loc,Url,Lat,Lng,Address,Phone
0,Aboriginal Housing Victoria,Fitzroy North,3068,07/12/2018,Inner Metro East,https://ahvic.org.au/,-37.78311647,144.9831832,"125-127 Scotchmer St, Fitzroy North 3068 ",03 9403 2100
1,Baptcare Affordable Housing,Camberwell,3124,21/10/2019,Box Hill,http://www.baptcare.org.au/services/housing,-37.84846722,145.0798788,1193 Toorak Road Camberwell VIC 3124,(03) 9831 7222
2,BeyondHousing,Wodonga,3689,09/01/2019,Wodonga,https://www.beyondhousing.org.au/,-36.11846248,146.8899506,"82 High Street, Wodonga VIC 3689",1800 825 955
3,Centacare Housing Service,Ballarat,3350,23/10/2018,Central Highlands,https://www.centacareballarat.org.au/services/housing,-37.56218291,143.8642108,"4 to 6 Peel Street, Ballarat 3350",03 5337 8999
4,Common Equity Housing Limited,Richmond,3121,11/06/2019,Inner Metro East,https://www.cehl.com.au/,-37.83047506,144.9961256,"Level 1, 112 Balmain Street, Richmond VIC 3121",03 9208 0800
5,Community Housing(Vic) Ltd,Box Hill,3128,04/03/2019,Box Hill,https://chl.org.au/,-37.81837133,145.1177986,"19-23 Prospect Street, Box Hill 3128",1300 245 468
6,EACH Housing,Ringwood,3134,16/04/2019,Maroondah,http://eachhousing.com.au/,-37.81501828,145.2284264,"20 Melbourne Street, Ringwood VIC 3134",03 9847 5916
7,Eastcoast Housing,Moe,3825,18/03/2019,Moe,https://eha.org.au/,-38.17760938,146.26044,"2/57 Lloyd Street, Moe VIC 3825",03 5127 7160
8,Eastern Suburbs Rental Housing Cooperative,Blackburn South,3130,04/04/2019,Box Hill,http://www.esrhc.org.au/,-37.83804578,145.1403329,"9 Indra Road, Blackburn South VIC 3130",03 9890 8477
9,Haven Home Safe,Bendigo,3550,01/04/2019,Bendigo,https://havenhomesafe.org.au/,-36.75973572,144.2769313,"10-16 Forest Street, Bendigo VIC 3550",03 5444 9000
10,The Haven Foundation,Heidelberg,3084,11/06/2019,Heidelberg,http://havenfoundation.org.au/,-37.75695909,145.062128,"86-92 Mount Street, Heidelberg VIC 3084",1300 286 463
