Locality_Name,Post_Code,Lat,Lng
MELBOURNE,3000,-37.814563,144.970267
MELBOURNE,3001,-38.365017,144.76592
EAST MELBOURNE,3002,-37.81664,144.987811
WEST MELBOURNE,3003,-37.806255,144.941123
MELBOURNE,3004,-37.837324,144.976335
WORLD TRADE CENTRE,3005,-37.822262,144.954856
SOUTHBANK,3006,-37.823258,144.965926
DOCKLANDS,3008,-37.814719,144.948039
UNIVERSITY OF MELBOURNE,3010,-37.796152,144.961351
FOOTSCRAY,3011,-37.79977,144.899587
SEDDON,3011,-37.808769,144.895486
SEDDON WEST,3011,-37.795059,144.866197
BROOKLYN,3012,-37.814624,144.847108
KINGSVILLE,3012,-37.812635,144.881803
KINGSVILLE WEST,3012,-37.795059,144.866197
MAIDSTONE,3012,-37.782096,144.874299
TOTTENHAM,3012,-37.799065,144.857829
WEST FOOTSCRAY,3012,-37.797701,144.879924
YARRAVILLE,3013,-37.816178,144.889774
YARRAVILLE WEST,3013,-37.818019,144.883582
NEWPORT,3015,-37.842477,144.883145
SOUTH KINGSVILLE,3015,-37.833627,144.870742
SPOTSWOOD,3015,-37.82967,144.885078
WILLIAMSTOWN,3016,-37.856902,144.897698
WILLIAMSTOWN NORTH,3016,-37.857681,144.887041
ALTONA,3018,-37.869275,144.830286
SEAHOLME,3018,-37.867992,144.843609
BRAYBROOK,3019,-37.779309,144.855359
BRAYBROOK NORTH,3019,-37.84536,144.894555
ROBINSON,3019,-37.834094,145.040941
ALBION,3020,-37.775954,144.819395
GLENGALA,3020,-37.788346,144.809505
SUNSHINE NORTH,3020,-37.768904,144.830258
SUNSHINE WEST,3020,-37.79983,144.81845
ALBANVALE,3021,-37.745934,144.770027
KEALBA,3021,-37.742331,144.825918
KINGS PARK,3021,-37.734277,144.780872
ST ALBANS,3021,-37.745063,144.799626
ARDEER,3022,-37.78292,144.801018
DEER PARK EAST,3022,-37.740815,144.797867
BURNSIDE,3023,-37.753381,144.752618
BURNSIDE HEIGHTS,3023,-37.771039,144.772248
CAIRNLEA,3023,-37.762076,144.754169
CAROLINE SPRINGS,3023,-37.74124,144.736311
DEER PARK,3023,-37.770312,144.77472
DEER PARK NORTH,3023,-37.744466,144.751767
RAVENHALL,3023,-37.766501,144.738709
MAMBOURIN,3024,-37.899873,144.556552
MOUNT COTTRELL,3024,-37.76516,144.609501
WYNDHAM VALE,3024,-37.891641,144.629467
ALTONA EAST,3025,-37.835657,144.85995
ALTONA GATE,3025,-37.825297,144.842988
ALTONA NORTH,3025,-37.842879,144.850049
LAVERTON NORTH,3026,-37.841653,144.795959
LAVERTON RAAF,3027,-37.859941,144.760517
ALTONA MEADOWS,3028,-37.871632,144.778084
LAVERTON,3028,-37.866939,144.761748
SEABROOK,3028,-37.877626,144.75777
HOPPERS CROSSING,3029,-37.882636,144.700297
TARNEIT,3029,-37.823738,144.692893
TRUGANINA,3029,-37.825004,144.748931
COCOROC,3030,-37.969994,144.582987
DERRIMUT,3030,-37.797549,144.771097
POINT COOK,3030,-37.914616,144.751038
QUANDONG,3030,-37.838725,144.554915
WERRIBEE,3030,-37.903337,144.657731
WERRIBEE SOUTH,3030,-37.903337,144.657731
FLEMINGTON,3031,-37.788375,144.931472
KENSINGTON,3031,-37.794333,144.929217
ASCOT VALE,3032,-37.77583,144.923377
HIGHPOINT CITY,3032,-37.773272,144.888794
MARIBYRNONG,3032,-37.772229,144.886116
TRAVANCORE,3032,-37.777773,144.929915
KEILOR EAST,3033,-37.736264,144.796336
AVONDALE HEIGHTS,3034,-37.742284,144.81515
KEILOR,3036,-37.718965,144.834166
KEILOR NORTH,3036,-37.704771,144.814229
DELAHEY,3037,-37.715579,144.780474
HILLSIDE,3037,-37.691437,144.74002
SYDENHAM,3037,-37.70004,144.764617
TAYLORS HILL,3037,-37.710381,144.766791
KEILOR DOWNS,3038,-37.725726,144.811346
KEILOR LODGE,3038,-37.695768,144.797032
TAYLORS LAKES,3038,-37.698758,144.78766
WATERGARDENS,3038,-37.698952,144.777576
MOONEE PONDS,3039,-37.765707,144.919163
ABERFELDIE,3040,-37.75669,144.896259
ESSENDON,3040,-37.754973,144.917407
ESSENDON WEST,3040,-37.753802,144.888271
ESSENDON NORTH,3041,-37.744374,144.909853
STRATHMORE,3041,-37.735876,144.919176
STRATHMORE HEIGHTS,3041,-37.716678,144.897568
AIRPORT WEST,3042,-37.711698,144.887037
KEILOR PARK,3042,-37.72465,144.850373
NIDDRIE,3042,-37.736031,144.889072
GLADSTONE PARK,3043,-37.68861,144.883628
GOWANBRAE,3043,-37.706316,144.894885
TULLAMARINE,3043,-37.68656,144.882698
PASCOE VALE,3044,-37.727568,144.939122
PASCOE VALE SOUTH,3044,-37.739198,144.945722
MELBOURNE AIRPORT,3045,-37.668873,144.833931
GLENROY,3046,-37.704581,144.915758
HADFIELD,3046,-37.707238,144.93832
OAK PARK,3046,-37.71817,144.919959
BROADMEADOWS,3047,-37.680792,144.921009
DALLAS,3047,-37.673333,144.931141
JACANA,3047,-37.690301,144.915729
COOLAROO,3048,-37.651811,144.930466
MEADOW HEIGHTS,3048,-37.64986,144.922104
ATTWOOD,3049,-37.667515,144.88529
CALDER PARK,3049,-37.700648,144.755896
WESTMEADOWS,3049,-37.673551,144.90086
ROYAL MELBOURNE HOSPITAL,3050,-37.798631,144.955627
NORTH MELBOURNE,3051,-37.905996,145.056254
MELBOURNE UNIVERSITY,3052,-37.796152,144.961351
PARKVILLE,3052,-37.788531,144.947731
CARLTON,3053,-37.784337,144.969747
CARLTON SOUTH,3053,-37.778987,145.0026
CARLTON NORTH,3054,-37.784337,144.969747
PRINCES HILL,3054,-37.780995,144.962792
BRUNSWICK SOUTH,3055,-37.772049,144.944635
BRUNSWICK WEST,3055,-37.762489,144.961176
MOONEE VALE,3055,-37.763919,144.940314
MORELAND WEST,3055,-37.713902,144.937112
BRUNSWICK,3056,-37.764829,144.943778
BRUNSWICK LOWER,3056,-37.759717,144.95137
BRUNSWICK NORTH,3056,-37.760071,144.972291
BRUNSWICK EAST,3057,-37.76491,144.979567
BATMAN,3058,-37.733524,144.962837
COBURG,3058,-37.743188,144.966279
COBURG NORTH,3058,-37.730842,144.971699
MERLYNSTON,3058,-37.720932,144.96131
MORELAND,3058,-37.748315,144.961827
GREENVALE,3059,-37.642984,144.88872
FAWKNER,3060,-37.759823,144.89571
FAWKNER EAST,3060,-37.709159,144.950411
FAWKNER NORTH,3060,-37.705055,144.944577
CAMPBELLFIELD,3061,-37.643746,144.951369
SOMERTON,3062,-37.642563,144.944259
OAKLANDS JUNCTION,3063,-37.629826,144.839244
YUROKE,3063,-37.589589,144.879406
CRAIGIEBURN,3064,-37.598975,144.941287
DONNYBROOK,3064,-37.542028,144.963579
KALKALLO,3064,-37.529372,144.947106
MICKLEHAM,3064,-37.560864,144.879078
ROXBURGH PARK,3064,-37.636795,144.932604
FITZROY,3065,-37.800917,144.979165
COLLINGWOOD,3066,-37.800366,144.984149
COLLINGWOOD NORTH,3066,-37.789805,144.990796
ABBOTSFORD,3067,-37.801781,144.998752
CLIFTON HILL,3068,-37.788118,144.992067
