ID,Preferred_Loc,Suburbs
0,Altona,Altona
1,Altona,Altona Meadows
2,Altona,Altona North
3,Altona,Brooklyn
4,Altona,Footscray
5,Altona,Kingsville
6,Altona,Newport
7,Altona,Seddon
8,Altona,South Kingsville
9,Altona,Spotswood
10,Altona,West Footscray
11,Altona,Williamstown
12,Altona,Williamstown North
13,Altona,Yarraville
14,Altona,Seaholme
15,Anglesea,Forrest
16,Anglesea,Aireys Inlet
17,Anglesea,Anglesea
18,Anglesea,Torquay
19,Bacchus Marsh,Bacchus Marsh
20,Bacchus Marsh,Darley
21,Bacchus Marsh,Maddingley
22,Bacchus Marsh,Hopetoun Park
23,Bairnsdale,Eagle Point
24,Bairnsdale,Iguana Creek
25,Bairnsdale,Lindenow
26,Bairnsdale,Sarsfield
27,Bairnsdale,Bairnsdale
28,Bairnsdale,Bruthen
29,Bairnsdale,East Bairnsdale
30,Bairnsdale,Lucknow
31,Bairnsdale,Wy Yung
32,Ballan,Ballan
33,Ballan,Gordon
34,Ballan,Greendale
35,Ballan,Lal Lal
36,Barwon Heads,Barwon Heads
37,Barwon Heads,Ocean Grove
38,Beaufort,Beaufort
39,Beaufort,Mount Lonarch
40,Beaufort,Moyston
41,Beaufort,Snake Valley
42,Beechworth,Beechworth
43,Beechworth,Leneva
44,Bellarine,Indented Head
45,Bellarine,Clifton Springs
46,Bellarine,Drysdale
47,Bellarine,Leopold
48,Bellarine,St Leonards
49,Benalla,Lurg
50,Benalla,Benalla
51,Benalla,Euroa
52,Benalla,Violet Town
53,Bendigo,Bendigo
54,Bendigo,California Gully
55,Bendigo,Eaglehawk
56,Bendigo,East Bendigo
57,Bendigo,Epsom
58,Bendigo,Flora Hill
59,Bendigo,Golden Square
60,Bendigo,Huntly
61,Bendigo,Ironbark
62,Bendigo,Kangaroo Flat
63,Bendigo,Kennington
64,Bendigo,Long Gully
65,Bendigo,North Bendigo
66,Bendigo,Quarry Hill
67,Bendigo,Spring Gully
68,Bendigo,Strathdale
69,Bendigo,Strathfieldsaye
70,Bendigo,West Bendigo
71,Bendigo,White Hills
72,Bendigo,Axedale
73,Bendigo,Bagshot
74,Bendigo,Dingee
75,Bendigo,Fosterville
76,Bendigo,Jackass Flat
77,Bendigo,Lockwood South
78,Bendigo,Longlea
79,Bendigo,Mandurang
80,Bendigo,Marong
81,Bendigo,Neilborough
82,Bendigo,Sailors Gully
83,Bendigo,Woodvale
84,Berwick and Pakenham,Avonsleigh
85,Berwick and Pakenham,Beaconsfield
86,Berwick and Pakenham,Berwick
87,Berwick and Pakenham,Bunyip
88,Berwick and Pakenham,Cockatoo
89,Berwick and Pakenham,Doveton
90,Berwick and Pakenham,Emerald
91,Berwick and Pakenham,Endeavour Hills
92,Berwick and Pakenham,Eumemmerring
93,Berwick and Pakenham,Hallam
94,Berwick and Pakenham,Nar Nar Goon
95,Berwick and Pakenham,Narre Warren
96,Berwick and Pakenham,Narre Warren North
97,Berwick and Pakenham,Narre Warren South
98,Berwick and Pakenham,Officer
99,Berwick and Pakenham,Pakenham
100,Box Hill,Ashburton
101,Box Hill,Balwyn
102,Box Hill,Balwyn North
103,Box Hill,Blackburn
104,Box Hill,Blackburn North
105,Box Hill,Blackburn South
106,Box Hill,Box Hill
107,Box Hill,Box Hill North
108,Box Hill,Box Hill South
109,Box Hill,Bulleen
110,Box Hill,Burwood
111,Box Hill,Burwood East
112,Box Hill,Camberwell
113,Box Hill,Canterbury
114,Box Hill,Doncaster
115,Box Hill,Doncaster East
116,Box Hill,Donvale
117,Box Hill,Glen Iris
118,Box Hill,Hawthorn
119,Box Hill,Hawthorn East
120,Box Hill,Kew
121,Box Hill,Kew East
122,Box Hill,Mont Albert North
123,Box Hill,Surrey Hills
124,Box Hill,Templestowe
125,Box Hill,Templestowe Lower
126,Box Hill,Warrandyte
127,Broadford,Broadford
128,Broadford,Heathcote Junction
129,Broadford,Kilmore
130,Broadford,Wallan
131,Broadford,Nulla Vale
132,Broadford,Wandong
133,Broadmeadows,Attwood
134,Broadmeadows,Broadmeadows
135,Broadmeadows,Campbellfield
136,Broadmeadows,Coburg
137,Broadmeadows,Coburg North
138,Broadmeadows,Coolaroo
139,Broadmeadows,Craigieburn
140,Broadmeadows,Dallas
141,Broadmeadows,Fawkner
142,Broadmeadows,Gladstone Park
143,Broadmeadows,Glenroy
144,Broadmeadows,Greenvale
145,Broadmeadows,Hadfield
146,Broadmeadows,Jacana
147,Broadmeadows,Meadow Heights
148,Broadmeadows,Oak Park
149,Broadmeadows,Pascoe Vale
150,Broadmeadows,Pascoe Vale South
151,Broadmeadows,Roxburgh Park
152,Broadmeadows,Tullamarine
153,Broadmeadows,Westmeadows
154,Camperdown,Camperdown
155,Camperdown,Terang
156,Castlemaine,Campbells Creek
157,Castlemaine,Castlemaine
158,Castlemaine,Maldon
159,Castlemaine,Newstead
160,Castlemaine,Chewton
161,Central Highlands,Alfredton
162,Central Highlands,Ballarat Central
163,Central Highlands,Ballarat East
164,Central Highlands,Ballarat North
165,Central Highlands,Black Hill
166,Central Highlands,Brown Hill
167,Central Highlands,Buninyong
168,Central Highlands,Canadian
169,Central Highlands,Delacombe
170,Central Highlands,Eureka
171,Central Highlands,Invermay Park
172,Central Highlands,Lake Wendouree
173,Central Highlands,Miners Rest
174,Central Highlands,Mitchell Park
175,Central Highlands,Mount Clear
176,Central Highlands,Mount Pleasant
177,Central Highlands,Newington
178,Central Highlands,Redan
179,Central Highlands,Sebastopol
180,Central Highlands,Soldiers Hill
181,Central Highlands,Wendouree
182,Central Highlands,Bannockburn
183,Central Highlands,Coghills Creek
184,Central Highlands,Corindhap
185,Central Highlands,Dereel
186,Central Highlands,Lake Gardens
187,Central Highlands,Mount Helen
188,Central Highlands,Rokewood
189,Central Highlands,Teesdale
190,Cheltenham North,Bentleigh
